dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
27;SANTANDER;28;CABRERA;CABRERA;2.074;88,48 %;1.012;TRUE;TRUE;68;31;6;890;945;1;1.835;6;6;306;0;88,48 %;1.835;1.318;71,83 %;1.312;3;14;143;1.155;1,06 %;0,23 %;10,85 %;87,63 %;99,77 %;-3
27;SANTANDER;40;CEPITA;CEPITA;2.078;104,09 %;1.061;TRUE;TRUE;139;15;11;1.013;1.150;8;270;11;11;197;0;104,09 %;2.163;1.515;70,04 %;1.507;5;12;217;1.278;0,79 %;0,33 %;14,32 %;84,36 %;99,80 %;-3
7;BOYACA;331;TUTAZA;TUTAZA;2.079;100,77 %;598;TRUE;FALSE;135;15;7;1.045;1.050;2;1.048;7;7;299;0;100,77 %;2.095;1.501;71,65 %;1.488;13;24;433;1.031;1,60 %;0,87 %;28,85 %;68,69 %;100,00 %;0
15;CUNDINAMARCA;19;BELTRAN;BELTRAN;2.079;107,84 %;318;TRUE;FALSE;211;10;7;1.052;1.190;3;747;7;7;320;0;107,84 %;2.242;1.401;62,49 %;1.391;9;7;533;851;0,50 %;0,64 %;38,04 %;60,74 %;99,93 %;-1
46;CASANARE;815;SACAMA;SACAMA;2.103;91,58 %;-305;FALSE;FALSE;537;4;6;880;1.046;2;963;6;6;321;0;91,58 %;1.926;1.235;64,12 %;1.227;4;24;754;449;1,94 %;0,32 %;61,05 %;36,36 %;99,68 %;-4
60;AMAZONAS;10;EL ENCANTO;EL ENCANTO;2.131;35,66 %;-229;FALSE;FALSE;11.251;0;3;336;424;1;760;3;3;253;0;35,66 %;760;300;39,47 %;294;6;3;260;31;1,00 %;2,00 %;86,67 %;10,33 %;100,00 %;0
27;SANTANDER;73;EL GUACAMAYO;EL GUACAMAYO;2.139;76,44 %;779;TRUE;TRUE;100;21;6;744;891;2;818;6;6;273;0;76,44 %;1.635;1.034;63,24 %;1.024;8;13;116;895;1,26 %;0,77 %;11,22 %;86,56 %;99,81 %;-2
27;SANTANDER;127;MACARAVITA;MACARAVITA;2.159;106,62 %;1.035;TRUE;TRUE;110;20;7;1.060;1.242;1;2.302;7;7;329;0;106,62 %;2.302;1.371;59,56 %;1.365;6;14;158;1.193;1,02 %;0,44 %;11,52 %;87,02 %;100,00 %;0
7;BOYACA;259;SATIVANORTE;SATIVANORTE;2.195;112,94 %;1.092;TRUE;TRUE;184;12;8;1.153;1.326;2;1.240;8;8;310;0;112,94 %;2.479;1.564;63,09 %;1.555;8;19;222;1.314;1,21 %;0,51 %;14,19 %;84,02 %;99,94 %;-1
7;BOYACA;28;BRICEÑO;BRICEÑO;2.206;110,70 %;1.092;TRUE;TRUE;64;34;7;1.082;1.360;1;2.442;7;7;349;0;110,70 %;2.442;1.627;66,63 %;1.618;2;12;257;1.349;0,74 %;0,12 %;15,80 %;82,91 %;99,57 %;-7
